ID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,weight,height,bats,throws,salary
2014hammeja01,1,CHN,NL,8,5,17,17,0,0,0,326,88,36,10,23,104,0.222,2.98,2.0,4,5.0,0,429.0,0,36,2.0,3.0,5.0,225.0,78.0,R,R,6000000.0
2014hammeja01,2,OAK,AL,2,6,13,12,0,0,0,203,66,32,13,21,54,0.254,4.26,0.0,2,3.0,0,286.0,1,34,1.0,1.0,6.0,225.0,78.0,R,R,6000000.0
2014handbr01,1,MIA,NL,3,8,32,16,0,0,1,333,112,54,10,39,67,0.264,4.38,3.0,5,2.0,0,474.0,5,56,6.0,2.0,9.0,224.0,75.0,L,L,500000.0
2014happja01,1,TOR,AL,11,11,30,26,0,0,0,474,160,74,22,51,133,0.261,4.22,0.0,1,2.0,0,673.0,2,79,1.0,5.0,12.0,205.0,77.0,L,L,5200000.0
2014haranaa01,1,ATL,NL,12,12,33,33,0,0,0,613,215,81,15,71,161,0.273,3.57,4.0,9,1.0,0,876.0,0,88,11.0,6.0,15.0,260.0,79.0,R,R,1000000.0
2014harenda01,1,LAN,NL,13,11,32,32,0,0,0,558,183,83,27,36,145,0.252,4.02,7.0,8,3.0,1,776.0,0,101,6.0,5.0,5.0,215.0,77.0,R,R,10000000.0
2014harriwi02,1,ARI,NL,0,3,29,0,0,0,0,87,27,14,3,9,35,0.252,4.34,2.0,1,2.0,0,120.0,8,14,1.0,1.0,2.0,236.0,76.0,R,R,510000.0
2014hawkila01,1,COL,NL,4,3,57,0,0,0,23,163,52,20,3,13,32,0.246,3.31,2.0,3,0.0,0,226.0,48,23,0.0,2.0,6.0,220.0,77.0,R,R,2250000.0
2014hendeji01,1,MIL,NL,2,1,14,0,0,0,0,34,14,9,3,4,17,0.311,7.15,1.0,0,0.0,0,50.0,3,10,1.0,0.0,1.0,220.0,77.0,L,R,512000.0
2014hernafe02,1,SEA,AL,15,6,34,34,0,0,0,708,170,56,16,46,248,0.2,2.14,1.0,18,5.0,0,912.0,0,68,4.0,5.0,12.0,220.0,75.0,R,R,22857000.0
2014herreke01,1,KCA,AL,4,3,70,0,0,0,0,210,54,11,0,26,59,0.214,1.41,0.0,1,3.0,0,285.0,12,12,4.0,0.0,5.0,220.0,70.0,R,R,522500.0
2014hollagr01,1,KCA,AL,1,3,65,0,0,0,46,187,37,10,3,20,90,0.17,1.44,0.0,9,0.0,0,240.0,60,13,1.0,1.0,2.0,210.0,70.0,R,R,4675000.0
2014hoovejj01,1,CIN,NL,1,10,54,0,0,0,0,188,56,34,13,31,75,0.236,4.88,3.0,0,1.0,0,275.0,22,36,1.0,5.0,3.0,240.0,75.0,R,R,520000.0
2014howeljp01,1,LAN,NL,3,3,68,0,0,0,0,147,31,13,2,25,48,0.183,2.39,1.0,3,1.0,0,199.0,8,14,4.0,0.0,5.0,180.0,72.0,L,L,4000000.0
2014hudsoti01,1,SFN,NL,9,13,31,31,1,0,0,568,199,75,15,34,120,0.27,3.57,3.0,2,7.0,0,789.0,0,86,5.0,5.0,18.0,175.0,73.0,R,R,11000000.0
2014hugheph01,1,MIN,AL,16,10,32,32,1,0,0,629,221,82,16,16,186,0.268,3.52,1.0,1,5.0,0,855.0,0,88,3.0,7.0,16.0,240.0,77.0,R,R,8000000.0
2014hunteto02,1,BAL,AL,3,2,60,0,0,0,11,182,55,20,4,12,45,0.244,2.97,3.0,2,1.0,0,241.0,24,22,1.0,2.0,12.0,250.0,75.0,R,R,3000000.0
2014hutchdr01,1,TOR,AL,11,13,32,32,1,1,0,554,173,92,23,60,184,0.245,4.48,1.0,4,7.0,2,786.0,0,92,4.0,10.0,4.0,215.0,75.0,L,R,503200.0
2014iwakuhi01,1,SEA,AL,15,9,28,28,0,0,0,537,167,70,20,21,154,0.244,3.52,2.0,2,2.0,0,709.0,0,70,0.0,1.0,12.0,210.0,75.0,R,R,6500000.0
2014jacksed01,1,CHN,NL,6,15,28,27,0,0,0,422,168,99,18,63,123,0.302,6.33,3.0,9,3.0,0,633.0,0,105,6.0,4.0,8.0,215.0,74.0,R,R,11000000.0
2014janseke01,1,LAN,NL,2,3,68,0,0,0,44,196,55,20,5,19,101,0.224,2.76,2.0,2,0.0,0,268.0,57,20,1.0,2.0,1.0,265.0,77.0,B,R,4300000.0
2014janssca01,1,TOR,AL,3,3,50,0,0,0,25,137,47,20,6,7,28,0.261,3.94,0.0,0,1.0,0,192.0,42,22,3.0,1.0,2.0,210.0,76.0,R,R,4000000.0
2014jennida01,1,MIA,NL,0,2,47,0,0,0,0,121,45,6,3,17,38,0.281,1.34,1.0,2,0.0,0,182.0,12,11,2.0,3.0,4.0,215.0,75.0,L,L,501500.0
2014jepseke01,1,LAA,AL,0,2,74,0,0,0,2,195,45,19,4,23,75,0.192,2.63,2.0,5,2.0,0,260.0,10,19,0.0,1.0,7.0,235.0,75.0,R,R,1462500.0
2014jimenub01,1,BAL,AL,6,9,25,22,0,0,0,376,113,67,14,77,116,0.241,4.81,0.0,4,4.0,0,553.0,0,68,3.0,1.0,10.0,221.0,77.0,R,R,11250000.0
2014johnser04,1,CHA,AL,1,1,5,5,0,0,0,71,27,17,1,15,18,0.297,6.46,1.0,3,2.0,0,109.0,0,18,0.0,1.0,1.0,230.0,75.0,R,R,500000.0
2014johnsji04,1,OAK,AL,4,2,38,0,0,0,2,121,60,32,5,23,28,0.353,7.14,3.0,4,3.0,0,200.0,18,33,2.0,2.0,6.0,250.0,78.0,R,R,10000000.0
2014johnsji04,2,DET,AL,1,0,16,0,0,0,0,39,9,10,0,12,14,0.191,6.92,3.0,0,3.0,0,63.0,3,13,1.0,0.0,1.0,250.0,78.0,R,R,10000000.0
2014jordata01,1,WAS,NL,0,3,5,5,0,0,0,77,34,16,3,8,17,0.309,5.61,1.0,0,2.0,0,124.0,0,20,2.0,2.0,3.0,210.0,77.0,R,R,504300.0
2014kazmisc01,1,OAK,AL,15,9,32,32,2,0,0,571,171,75,16,50,164,0.238,3.55,1.0,9,4.0,1,777.0,0,81,5.0,1.0,19.0,185.0,72.0,L,L,7000000.0
2014kellesh01,1,NYA,AL,3,6,59,0,0,0,4,155,45,26,5,20,67,0.231,4.53,4.0,3,1.0,0,220.0,15,26,3.0,1.0,1.0,237.0,74.0,R,R,1765000.0
2014kellyjo05,1,SLN,NL,2,2,7,7,0,0,0,105,41,17,3,10,25,0.291,4.37,0.0,3,3.0,0,156.0,0,19,1.0,1.0,6.0,174.0,73.0,R,R,523000.0
2014kellyjo05,2,BOS,AL,4,2,10,10,0,0,0,184,47,28,5,32,41,0.215,4.11,0.0,0,4.0,0,259.0,0,29,1.0,3.0,9.0,174.0,73.0,R,R,523000.0
