playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,salary,birthYear,birthMonth,weight,height,throws,debut
kensilo01,2016,1,DET,AL,0,0,3,0,0,0,0,14,8,1,0,2,1,0.421,1.93,0.0,0,0.0,0,21.0,0,1,0.0,0.0,3.0,575000.0,1982.0,7.0,190.0,73.0,R,2004-09-10
kershcl01,2016,1,LAN,NL,12,4,21,21,3,3,0,447,97,28,8,11,172,0.184,1.69,1.0,5,2.0,3,544.0,0,31,4.0,1.0,9.0,33000000.0,1988.0,3.0,225.0,76.0,L,2008-05-25
keuchda01,2016,1,HOU,AL,9,12,26,26,1,1,0,504,168,85,20,48,144,0.259,4.55,1.0,9,2.0,0,701.0,0,88,2.0,1.0,16.0,7250000.0,1988.0,1.0,205.0,74.0,L,2012-06-17
kimbrcr01,2016,1,BOS,AL,2,6,57,0,0,0,31,159,28,20,4,30,83,0.152,3.4,0.0,6,4.0,0,220.0,47,22,1.0,1.0,3.0,11000000.0,1988.0,5.0,215.0,71.0,R,2010-05-07
kleinph01,2016,1,TEX,AL,0,1,8,0,0,0,0,26,8,5,2,2,12,0.242,5.19,0.0,1,0.0,0,35.0,5,5,0.0,0.0,1.0,509500.0,1989.0,4.0,255.0,79.0,R,2014-08-01
klubeco01,2016,1,CLE,AL,18,9,32,32,3,2,0,645,170,75,22,57,227,0.216,3.14,1.0,5,7.0,1,860.0,0,82,6.0,2.0,17.0,4700000.0,1986.0,4.0,215.0,76.0,R,2011-09-01
knebeco01,2016,1,MIL,NL,1,4,35,0,0,0,2,98,32,17,3,16,38,0.252,4.68,3.0,1,1.0,0,145.0,7,20,0.0,1.0,1.0,513000.0,1991.0,11.0,224.0,75.0,R,2014-05-24
koehlto01,2016,1,MIA,NL,9,13,33,33,0,0,0,530,176,85,22,83,147,0.261,4.33,7.0,9,5.0,0,774.0,0,93,6.0,5.0,10.0,3500000.0,1986.0,6.0,235.0,74.0,R,2012-09-05
kontoge01,2016,1,SFN,NL,3,2,57,0,0,0,0,160,42,15,3,20,35,0.219,2.53,3.0,1,2.0,0,216.0,17,19,1.0,1.0,6.0,1150000.0,1985.0,6.0,225.0,75.0,R,2011-09-10
kratzer01,2016,1,HOU,AL,0,0,1,0,0,0,0,3,3,1,0,0,0,0.5,9.0,0.0,2,0.0,0,6.0,1,2,0.0,0.0,0.0,850000.0,1980.0,6.0,250.0,76.0,R,2010-07-17
