Year,Full Name,Age,Salary,ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,League,Team,Games Started
1990,JohnsonRandy,27.0,150000.0,3.65,174,89,194,26,14,11,659,944.0,0,225.0,82.0,AL,SEA,33
1990,JonesJimmy,26.0,190000.0,6.3,72,35,25,8,1,2,150,238.0,9,175.0,74.0,AL,NYA,7
1990,KeyJimmy,29.0,1466667.0,4.25,169,73,88,20,13,7,464,636.0,0,185.0,73.0,AL,TOR,27
1990,KieckerDana,29.0,100000.0,3.97,145,67,93,7,8,9,456,641.0,3,180.0,75.0,AL,BOS,25
1990,KingEric,26.0,415000.0,3.28,135,55,70,10,12,4,453,623.0,0,180.0,74.0,AL,CHA,25
1990,KnudsonMark,30.0,150000.0,4.12,187,77,56,14,10,9,505,719.0,0,215.0,77.0,AL,ML4,27
1990,KruegerBill,32.0,325000.0,3.98,137,57,64,10,6,8,387,566.0,4,205.0,77.0,AL,ML4,17
1990,KutzlerJerry,25.0,100000.0,6.03,38,21,21,2,2,1,94,141.0,0,175.0,73.0,AL,CHA,7
1990,LaCossMike,34.0,1150000.0,3.94,75,34,39,5,6,4,233,337.0,0,185.0,77.0,NL,SFN,12
1990,LangstonMark,30.0,1800000.0,4.4,215,109,195,13,10,17,669,950.0,0,177.0,74.0,AL,CAL,33
1990,LaPointDave,31.0,850000.0,4.11,180,72,67,11,7,10,473,694.0,0,205.0,75.0,AL,NYA,27
1990,LearyTim,32.0,825000.0,4.11,202,95,138,18,9,19,624,881.0,0,205.0,75.0,AL,NYA,31
1990,LeibrandtCharlie,34.0,1000000.0,3.16,164,57,76,9,9,11,487,680.0,0,195.0,75.0,NL,ATL,24
1990,LilliquistDerek,24.0,135000.0,6.28,75,43,34,10,2,8,185,279.0,1,200.0,72.0,NL,ATL,11
1990,MadduxGreg,24.0,437500.0,3.46,242,91,144,11,15,15,711,1011.0,0,170.0,72.0,NL,CHN,35
1990,MagraneJoe,26.0,300000.0,3.59,204,81,100,10,10,17,610,855.0,0,225.0,78.0,NL,SLN,31
1990,MahlerRick,37.0,790000.0,4.28,134,64,68,16,7,6,404,564.0,9,195.0,73.0,NL,CIN,16
1990,MartinezDennis,36.0,1400000.0,2.95,191,74,156,16,10,11,678,908.0,0,160.0,73.0,NL,MON,32
1990,MartinezRamon,22.0,150000.0,2.92,191,76,223,22,20,6,703,950.0,0,165.0,76.0,NL,LAN,33
1990,MathewsGreg,28.0,125000.0,5.33,53,30,18,2,0,5,152,229.0,0,180.0,74.0,NL,SLN,10
1990,McCaskillKirk,29.0,967500.0,3.25,161,63,78,9,12,11,523,738.0,0,190.0,73.0,AL,CAL,29
1990,McDonaldBen,23.0,241667.0,2.43,88,32,65,9,8,5,356,472.0,2,212.0,79.0,AL,BAL,15
1990,MilackiBob,26.0,235000.0,4.46,143,67,60,18,5,8,406,594.0,0,220.0,76.0,AL,BAL,24
1990,MitchellJohn,25.0,111000.0,4.64,133,59,43,7,6,6,343,509.0,2,165.0,74.0,AL,BAL,17
1990,MooreMike,31.0,1191667.0,4.65,204,103,73,14,13,15,598,862.0,0,205.0,76.0,AL,OAK,33
1990,MorganMike,31.0,650000.0,3.75,216,88,106,19,11,15,633,891.0,0,195.0,75.0,NL,LAN,33
1990,MorrisJack,35.0,2100000.0,4.51,231,125,162,26,15,18,749,1073.0,0,195.0,75.0,AL,DET,36
1990,MoyerJamie,28.0,340000.0,4.66,115,53,58,6,2,6,307,447.0,6,170.0,72.0,AL,TEX,10
1990,MulhollandTerry,27.0,150000.0,3.34,172,67,75,15,9,10,542,746.0,2,200.0,75.0,NL,PHI,26
1990,NavarroJaime,23.0,120000.0,4.46,176,74,75,11,8,7,448,654.0,2,210.0,76.0,AL,ML4,22
1990,NunezJose,26.0,125000.0,6.53,61,44,40,5,4,7,182,274.0,4,175.0,75.0,NL,CHN,10
1990,OjedaBob,33.0,1300000.0,3.66,123,48,62,10,7,6,354,500.0,9,185.0,73.0,NL,NYN,12
