,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
44161,anderco01,2016,1,CLE,AL,2,5,19,9,0,0,0,182,85,45,13,13,54,0.333,6.68,3.0,5,1.0,0,270.0,2,45,0.0,1.0,4.0
44162,anderty01,2016,1,COL,NL,5,6,19,19,0,0,0,343,119,45,12,28,99,0.272,3.54,2.0,4,3.0,3,478.0,0,50,6.0,3.0,13.0
44163,andrima01,2016,1,TBA,AL,8,8,29,19,1,1,1,383,131,62,17,25,109,0.265,4.37,1.0,3,1.0,4,527.0,3,64,0.0,6.0,13.0
44164,antoldu01,2016,1,TOR,AL,0,0,1,0,0,0,0,6,4,3,1,1,1,0.4,13.5,0.0,0,0.0,0,11.0,0,3,0.0,0.0,0.0
44165,aquinja01,2016,1,BAL,AL,0,0,3,0,0,0,0,7,1,0,0,0,3,0.125,0.0,0.0,0,0.0,0,8.0,2,0,0.0,0.0,0.0
44166,araujel01,2016,1,PHI,NL,2,1,32,0,0,0,0,82,35,17,4,17,29,0.313,5.6,2.0,0,2.0,1,134.0,9,22,2.0,1.0,2.0
44167,archech01,2016,1,TBA,AL,9,19,33,33,0,0,0,604,183,90,30,67,233,0.238,4.02,0.0,11,3.0,0,850.0,0,100,6.0,4.0,12.0
44168,armstsh01,2016,1,CLE,AL,0,0,10,0,0,0,0,32,9,3,1,5,7,0.237,2.53,2.0,1,0.0,0,44.0,2,3,1.0,0.0,1.0
44169,arojo01,2016,1,SEA,AL,0,0,1,0,0,0,0,2,1,0,0,1,0,0.333,0.0,0.0,0,0.0,0,4.0,0,0,0.0,0.0,0.0
44170,arrieja01,2016,1,CHN,NL,18,8,31,31,1,1,0,592,138,68,16,76,190,0.194,3.1,1.0,16,6.0,0,795.0,0,72,2.0,1.0,17.0
44171,asheral01,2016,1,PHI,NL,2,1,5,5,0,0,0,83,22,7,1,4,13,0.216,2.28,0.0,0,2.0,0,111.0,0,11,2.0,1.0,2.0
44172,avilalu01,2016,1,LAN,NL,3,0,27,0,0,0,0,59,12,7,0,10,28,0.176,3.2,4.0,1,2.0,0,82.0,3,8,2.0,0.0,1.0
44173,axforjo01,2016,1,OAK,AL,6,4,68,0,0,0,3,197,65,29,6,30,60,0.258,3.97,1.0,4,3.0,0,289.0,13,30,2.0,2.0,7.0
44174,baezpe01,2016,1,LAN,NL,3,2,73,0,0,0,0,222,52,25,11,22,83,0.195,3.04,0.0,3,2.0,2,295.0,10,27,1.0,2.0,3.0
44175,bailean01,2016,1,PHI,NL,3,1,33,0,0,0,0,97,32,23,6,15,33,0.26,6.4,0.0,2,1.0,1,144.0,4,23,3.0,2.0,1.0
44176,bailean01,2016,2,LAA,AL,0,0,12,0,0,0,6,34,9,3,1,2,8,0.214,2.38,0.0,1,1.0,0,46.0,10,3,0.0,1.0,1.0
44177,baileho02,2016,1,CIN,NL,2,3,6,6,0,0,0,69,35,17,2,7,27,0.35,6.65,0.0,1,2.0,0,111.0,0,19,0.0,2.0,1.0
44178,barbajo01,2016,1,NYA,AL,1,2,13,0,0,0,0,39,13,11,2,5,15,0.26,7.62,0.0,0,2.0,0,57.0,5,11,0.0,0.0,0.0
44179,barneda01,2016,1,TOR,AL,0,1,1,0,0,0,0,3,1,1,1,0,1,0.25,9.0,0.0,0,0.0,0,4.0,1,1,0.0,0.0,0.0
44180,barneda02,2016,1,TOR,AL,0,0,12,0,0,0,0,41,14,6,0,5,14,0.275,3.95,0.0,1,0.0,0,58.0,4,6,0.0,2.0,1.0
44181,barneja01,2016,1,MIL,NL,0,1,27,0,0,0,1,80,24,8,1,6,26,0.245,2.7,1.0,2,0.0,0,106.0,7,9,1.0,1.0,3.0
44182,barnema01,2016,1,BOS,AL,4,3,62,0,0,0,1,200,62,30,6,31,71,0.248,4.05,1.0,4,3.0,0,287.0,13,32,2.0,1.0,3.0
44183,barneto01,2016,1,TEX,AL,7,3,53,0,0,0,0,181,54,14,4,16,49,0.242,2.09,1.0,6,4.0,0,246.0,9,16,1.0,2.0,10.0
44184,barraky01,2016,1,MIA,NL,6,3,75,0,0,0,0,218,45,23,1,44,113,0.176,2.85,1.0,8,2.0,0,306.0,6,24,2.0,2.0,2.0
44185,barreja01,2016,1,ARI,NL,1,2,68,0,0,0,4,178,47,23,6,28,56,0.218,3.49,4.0,4,3.0,0,250.0,12,25,0.0,3.0,4.0
44186,bassich01,2016,1,OAK,AL,0,2,5,5,0,0,0,84,35,19,5,14,23,0.294,6.11,0.0,2,0.0,0,133.0,0,20,0.0,0.0,3.0
44187,bastaan01,2016,1,NYN,NL,0,0,41,0,0,0,0,131,41,23,8,21,46,0.244,4.74,2.0,1,3.0,2,195.0,11,24,2.0,1.0,2.0
44188,bastaan01,2016,2,PIT,NL,3,0,28,0,0,0,0,72,19,11,3,11,28,0.216,4.13,1.0,5,1.0,2,102.0,0,13,0.0,2.0,0.0
44189,bauertr01,2016,1,CLE,AL,12,8,35,28,1,0,0,570,179,90,20,70,168,0.248,4.26,1.0,3,9.0,0,811.0,3,96,4.0,7.0,12.0
44190,baumabu01,2016,1,SDN,NL,1,0,11,0,0,0,0,29,7,4,0,4,10,0.2,3.72,0.0,0,1.0,0,40.0,2,4,0.0,0.0,0.0
44191,beckch02,2016,1,CHA,AL,2,2,25,0,0,0,0,76,31,18,3,17,20,0.301,6.39,1.0,0,2.0,0,123.0,4,18,0.0,1.0,2.0
44192,bedroca01,2016,1,LAA,AL,2,0,45,0,0,0,1,121,30,5,1,14,51,0.207,1.12,1.0,3,2.0,0,162.0,9,7,0.0,1.0,3.0
44193,belisma01,2016,1,WAS,NL,0,0,40,0,0,0,0,138,43,9,2,7,32,0.244,1.76,3.0,2,1.0,0,186.0,6,13,1.0,1.0,4.0
44194,benoijo01,2016,1,SEA,AL,1,1,26,0,0,0,0,73,20,14,4,15,28,0.215,5.18,1.0,1,1.0,0,111.0,2,16,1.0,1.0,0.0
44195,benoijo01,2016,2,TOR,AL,2,0,25,0,0,0,1,71,17,1,1,9,24,0.205,0.38,0.0,0,0.0,0,93.0,4,1,0.0,1.0,4.0
44196,bergmch01,2016,1,COL,NL,1,3,15,1,0,0,0,74,39,23,7,6,22,0.355,8.39,0.0,0,0.0,0,119.0,5,24,2.0,1.0,2.0
44197,berrijo01,2016,1,MIN,AL,3,7,14,14,0,0,0,175,74,52,12,35,49,0.31,8.02,0.0,1,5.0,0,281.0,0,56,2.0,0.0,5.0
44198,betande01,2016,1,NYA,AL,3,6,73,0,0,0,12,219,54,25,5,28,126,0.201,3.08,0.0,6,1.0,0,299.0,20,31,1.0,1.0,4.0
44199,bethach01,2016,1,SDN,NL,0,0,2,0,0,0,0,5,1,0,0,3,1,0.167,0.0,0.0,0,1.0,0,10.0,1,0,0.0,0.0,0.0
44200,bettich01,2016,1,COL,NL,14,8,32,32,1,1,0,558,204,99,22,59,138,0.278,4.79,5.0,4,7.0,0,814.0,0,107,10.0,3.0,11.0
44201,biagijo01,2016,1,TOR,AL,4,3,60,0,0,0,1,203,69,23,3,19,62,0.259,3.06,1.0,3,5.0,0,295.0,12,28,2.0,3.0,4.0
44202,blachty01,2016,1,SFN,NL,1,0,4,2,0,0,0,51,8,2,1,5,10,0.143,1.06,0.0,0,0.0,1,62.0,2,2,1.0,0.0,2.0
44203,blairaa01,2016,1,ATL,NL,2,7,15,15,0,0,0,210,82,59,14,34,46,0.299,7.59,4.0,0,6.0,0,324.0,0,61,3.0,7.0,4.0
44204,blantjo01,2016,1,LAN,NL,7,2,75,0,0,0,0,240,55,22,7,26,80,0.194,2.48,4.0,3,2.0,0,315.0,15,23,0.0,3.0,5.0
44205,blazemi01,2016,1,MIL,NL,3,1,41,0,0,0,0,124,52,26,7,27,36,0.311,5.66,3.0,2,2.0,0,201.0,7,31,1.0,4.0,5.0
44206,bleieri01,2016,1,NYA,AL,0,0,23,0,0,0,0,69,20,5,0,4,13,0.233,1.96,0.0,0,1.0,0,92.0,8,6,0.0,1.0,3.0
44207,blevije01,2016,1,NYN,NL,4,2,73,0,0,0,2,126,36,13,4,15,52,0.229,2.79,3.0,1,1.0,0,178.0,8,14,2.0,3.0,1.0
44208,bolsimi01,2016,1,LAN,NL,1,4,6,6,0,0,0,83,33,21,7,9,25,0.303,6.83,1.0,0,2.0,0,122.0,0,21,2.0,0.0,2.0
44209,boscawi01,2016,1,PIT,NL,1,1,6,1,0,0,0,46,15,11,2,7,8,0.254,6.46,0.0,1,0.0,1,67.0,2,11,1.0,0.0,1.0
44210,boshebu01,2016,1,MIN,AL,2,0,37,0,0,0,0,108,35,17,3,7,37,0.248,4.25,1.0,1,1.0,0,152.0,9,21,0.0,3.0,2.0
44211,bowmama01,2016,1,SLN,NL,2,5,59,0,0,0,0,203,59,26,4,20,52,0.229,3.46,2.0,0,1.0,0,281.0,12,31,1.0,1.0,8.0
44212,boxbebr01,2016,1,TBA,AL,4,3,27,0,0,0,0,73,23,13,3,19,22,0.25,4.81,1.0,0,2.0,0,114.0,3,13,0.0,1.0,1.0
44213,boydma01,2016,1,DET,AL,6,5,20,18,0,0,0,292,97,49,17,29,82,0.258,4.53,0.0,1,4.0,0,412.0,1,51,0.0,3.0,8.0
44214,boyerbl01,2016,1,MIL,NL,2,4,61,0,0,0,1,198,80,29,4,17,26,0.305,3.95,3.0,0,1.0,0,282.0,17,30,0.0,2.0,11.0
44215,brachbr01,2016,1,BAL,AL,10,4,71,0,0,0,2,237,57,18,7,25,92,0.201,2.05,1.0,4,0.0,1,311.0,16,23,0.0,3.0,7.0
44216,brachsi01,2016,1,ARI,NL,0,2,26,0,0,0,0,74,31,20,7,10,17,0.295,7.3,1.0,3,3.0,0,119.0,11,22,0.0,1.0,2.0
44217,bradlar01,2016,1,ARI,NL,8,9,26,26,0,0,0,425,154,79,16,67,143,0.276,5.02,8.0,7,4.0,2,638.0,0,84,2.0,7.0,7.0
44218,bradlje01,2016,1,ATL,NL,1,1,6,0,0,0,0,21,7,4,0,6,4,0.269,5.14,2.0,1,0.0,0,33.0,1,4,0.0,1.0,1.0
44219,braulst01,2016,1,PIT,NL,0,3,8,7,0,0,0,100,45,18,5,17,29,0.313,4.86,1.0,1,2.0,0,166.0,0,26,3.0,0.0,2.0
44220,breslcr01,2016,1,MIA,NL,0,2,15,0,0,0,0,42,21,7,1,4,7,0.362,4.5,0.0,2,0.0,0,63.0,4,9,1.0,0.0,2.0
44221,briceau01,2016,1,MIA,NL,0,1,15,0,0,0,0,42,9,11,2,5,14,0.173,7.07,1.0,0,2.0,0,59.0,2,12,0.0,0.0,0.0
44222,bridwpa01,2016,1,BAL,AL,0,0,2,0,0,0,0,10,5,5,2,1,3,0.357,13.5,0.0,0,0.0,0,15.0,1,5,0.0,0.0,0.0
44223,brittza01,2016,1,BAL,AL,2,1,69,0,0,0,47,201,38,4,1,18,74,0.162,0.54,3.0,10,0.0,0,254.0,63,7,1.0,0.0,4.0
44224,broadmi01,2016,1,SFN,NL,0,0,4,0,0,0,0,16,9,7,2,1,4,0.375,11.81,0.0,0,0.0,0,25.0,2,7,0.0,0.0,1.0
44225,broxtjo01,2016,1,SLN,NL,4,2,66,0,0,0,0,182,52,29,7,24,57,0.229,4.3,5.0,1,3.0,0,259.0,14,32,2.0,3.0,1.0
44226,buchaja01,2016,1,CHN,NL,1,0,2,1,0,0,0,18,3,1,1,1,4,0.15,1.5,0.0,0,0.0,0,21.0,1,1,0.0,0.0,1.0
44227,buchhcl01,2016,1,BOS,AL,8,10,37,21,0,0,0,418,130,74,21,55,93,0.25,4.78,1.0,1,5.0,0,588.0,7,80,2.0,6.0,17.0
44228,buchtry01,2016,1,SDN,NL,3,0,67,0,0,0,1,189,34,20,4,31,78,0.16,2.86,3.0,3,2.0,0,247.0,10,20,0.0,2.0,4.0
44229,bumgama01,2016,1,SFN,NL,15,9,34,34,4,1,0,680,179,69,26,54,251,0.213,2.74,0.0,4,8.0,1,912.0,0,79,3.0,6.0,15.0
44230,bundydy01,2016,1,BAL,AL,10,6,36,14,0,0,0,329,109,49,18,42,104,0.257,4.02,4.0,0,6.0,0,474.0,6,52,1.0,1.0,6.0
44231,burgoen02,2016,1,ARI,NL,1,2,43,0,0,0,1,124,38,26,5,23,43,0.253,5.66,5.0,5,1.0,1,178.0,16,27,2.0,2.0,5.0
44232,burnese01,2016,1,WAS,NL,0,0,10,0,0,0,0,17,5,2,1,1,3,0.238,3.18,0.0,0,0.0,0,22.0,2,2,0.0,0.0,0.0
44233,buschma01,2016,1,ARI,NL,0,0,3,0,0,0,0,13,2,1,1,1,3,0.143,2.08,1.0,0,0.0,0,15.0,2,1,0.0,0.0,1.0
44234,bushma01,2016,1,TEX,AL,7,2,58,0,0,0,1,185,44,17,4,14,61,0.196,2.48,0.0,2,1.0,0,243.0,15,18,1.0,3.0,3.0
44235,buterdr01,2016,1,KCA,AL,0,0,2,0,0,0,0,4,1,0,0,0,1,0.2,0.0,0.0,0,0.0,0,5.0,2,0,0.0,0.0,0.0
44236,butleed01,2016,1,COL,NL,2,5,17,9,0,0,0,192,87,51,13,21,47,0.328,7.17,1.0,1,3.0,0,293.0,0,57,2.0,2.0,6.0
44237,cabrema01,2016,1,ATL,NL,5,1,41,0,0,0,6,115,31,12,0,19,32,0.225,2.82,1.0,2,1.0,0,162.0,10,14,2.0,2.0,5.0
44238,cahiltr01,2016,1,CHN,NL,4,4,50,1,0,0,0,197,49,20,7,35,66,0.201,2.74,3.0,3,5.0,0,284.0,16,22,0.0,0.0,5.0
44239,cainma01,2016,1,SFN,NL,4,8,21,17,0,0,0,268,103,56,16,32,72,0.299,5.64,1.0,5,6.0,0,397.0,2,58,8.0,6.0,8.0
44240,caminar01,2016,1,PIT,NL,1,2,39,0,0,0,1,123,46,16,4,22,32,0.289,3.51,0.0,1,4.0,0,187.0,9,17,1.0,1.0,5.0
44241,caminar01,2016,2,SEA,AL,1,1,18,0,0,0,0,59,21,8,3,11,18,0.263,3.66,1.0,1,1.0,0,93.0,2,14,1.0,0.0,1.0
44242,campojo01,2016,1,ARI,NL,0,0,1,0,0,0,0,17,4,2,2,2,4,0.182,3.18,0.0,0,0.0,0,24.0,0,3,0.0,0.0,0.0
44243,campole01,2016,1,SDN,NL,1,0,18,0,0,0,0,66,18,14,3,14,24,0.222,5.73,2.0,1,1.0,0,98.0,10,16,1.0,1.0,2.0
44244,capuach01,2016,1,MIL,NL,1,1,16,0,0,0,0,72,23,11,7,15,27,0.256,4.13,2.0,1,1.0,0,106.0,3,11,0.0,0.0,4.0
44245,carasma01,2016,1,COL,NL,1,0,19,0,0,0,0,47,25,16,1,11,17,0.373,9.19,0.0,2,3.0,0,83.0,7,17,0.0,2.0,2.0
44246,carmofa01,2016,1,ATL,NL,1,1,2,2,0,0,0,27,13,8,4,1,6,0.351,8.0,0.0,0,0.0,0,39.0,0,8,0.0,1.0,0.0
44247,carraca01,2016,1,CLE,AL,11,8,25,25,1,1,0,439,134,54,21,34,150,0.24,3.32,2.0,4,3.0,1,599.0,0,64,1.0,3.0,9.0
44248,carrosc02,2016,1,CHA,AL,0,0,3,0,0,0,0,7,2,3,0,1,2,0.25,11.57,0.0,0,1.0,0,10.0,2,3,0.0,0.0,0.0
44249,cashnan01,2016,1,SDN,NL,4,7,16,16,0,0,0,238,80,42,13,30,67,0.264,4.76,0.0,1,6.0,0,347.0,0,47,4.0,3.0,10.0
44250,cashnan01,2016,2,MIA,NL,1,4,12,11,0,0,0,158,62,35,6,30,45,0.301,5.98,3.0,2,1.0,0,241.0,1,36,2.0,2.0,9.0
44251,castrmi01,2016,1,COL,NL,0,0,19,0,0,0,0,44,18,10,3,5,12,0.3,6.14,0.0,0,1.0,0,67.0,4,10,1.0,0.0,1.0
44252,cecilbr01,2016,1,TOR,AL,1,7,54,0,0,0,0,110,39,16,6,8,45,0.269,3.93,0.0,0,2.0,0,157.0,8,17,1.0,1.0,3.0
44253,cedenxa01,2016,1,TBA,AL,3,4,54,0,0,0,0,124,36,17,2,13,43,0.229,3.7,1.0,3,0.0,0,174.0,7,17,1.0,2.0,2.0
44254,cervehu01,2016,1,ATL,NL,1,0,50,0,0,0,0,102,20,12,2,23,35,0.175,3.18,5.0,6,1.0,0,139.0,8,14,1.0,0.0,5.0
44255,cervehu01,2016,2,MIA,NL,0,0,18,0,0,0,0,28,11,5,1,5,7,0.289,4.82,0.0,0,0.0,0,43.0,3,5,0.0,0.0,0.0
44256,cessalu01,2016,1,NYA,AL,4,4,17,9,0,0,0,211,64,34,16,14,46,0.241,4.35,0.0,2,3.0,0,285.0,5,36,1.0,1.0,3.0
44257,chacijh01,2016,1,ATL,NL,1,2,5,5,0,0,0,80,29,16,4,8,27,0.274,5.4,0.0,0,0.0,0,117.0,0,17,2.0,1.0,0.0
44258,chacijh01,2016,2,LAA,AL,5,6,29,17,1,0,0,352,124,61,10,47,92,0.272,4.68,4.0,8,5.0,1,515.0,5,64,2.0,5.0,10.0
44259,chafian01,2016,1,ARI,NL,0,1,32,0,0,0,0,68,22,17,1,11,28,0.259,6.75,1.0,2,1.0,0,98.0,1,18,1.0,0.0,5.0
44260,chambjo03,2016,1,CLE,AL,0,0,20,0,0,0,0,60,12,5,1,11,18,0.176,2.25,3.0,1,1.0,0,82.0,5,6,0.0,2.0,0.0
44261,chapmar01,2016,1,NYA,AL,3,0,31,0,0,0,20,94,20,7,2,8,44,0.179,2.01,0.0,2,0.0,1,120.0,29,8,0.0,0.0,2.0
44262,chapmar01,2016,2,CHN,NL,1,1,28,0,0,0,16,80,12,3,0,10,46,0.132,1.01,0.0,6,0.0,0,102.0,23,4,0.0,1.0,0.0
44263,chapmke02,2016,1,HOU,AL,0,0,9,0,0,0,0,24,15,8,0,4,6,0.395,9.0,0.0,0,0.0,0,42.0,1,8,0.0,0.0,1.0
44264,chargjt01,2016,1,MIN,AL,1,1,25,0,0,0,0,69,25,12,0,12,17,0.291,4.7,0.0,3,1.0,0,100.0,10,12,0.0,1.0,5.0
44265,chatwty01,2016,1,COL,NL,12,9,27,27,0,0,0,474,147,68,15,70,117,0.25,3.87,2.0,7,5.0,0,669.0,0,75,2.0,3.0,22.0
44266,chaveje01,2016,1,TOR,AL,1,2,39,0,0,0,0,124,43,21,9,10,42,0.269,4.57,0.0,1,2.0,0,173.0,6,22,0.0,1.0,4.0
44267,chaveje01,2016,2,LAN,NL,1,0,23,0,0,0,0,77,28,12,3,8,21,0.277,4.21,3.0,0,0.0,0,109.0,3,14,0.0,0.0,3.0
44268,chenwe02,2016,1,MIA,NL,5,5,22,22,0,0,0,370,134,68,22,24,100,0.276,4.96,0.0,1,3.0,0,520.0,0,69,3.0,4.0,10.0
44269,cingrto01,2016,1,CIN,NL,2,5,65,0,0,0,17,189,54,29,5,37,49,0.236,4.14,1.0,3,3.0,1,271.0,34,30,1.0,1.0,5.0
44270,cishest01,2016,1,SEA,AL,4,6,62,0,0,0,25,192,44,20,8,21,76,0.19,2.81,2.0,4,4.0,0,258.0,40,21,1.0,0.0,2.0
44271,claudal01,2016,1,TEX,AL,4,1,39,0,0,0,0,155,55,16,2,10,34,0.27,2.79,0.0,0,1.0,0,217.0,15,19,0.0,2.0,8.0
44272,clemepa02,2016,1,MIA,NL,1,0,2,2,0,0,0,30,11,7,5,8,6,0.289,6.3,0.0,0,1.0,0,47.0,0,7,0.0,0.0,2.0
44273,clemepa02,2016,2,SDN,NL,3,5,16,12,0,0,0,184,61,25,9,23,47,0.257,3.67,0.0,4,3.0,1,267.0,2,32,1.0,3.0,6.0
44274,clevimi01,2016,1,CLE,AL,3,3,17,10,0,0,0,159,50,31,8,29,50,0.246,5.26,0.0,2,0.0,0,233.0,3,31,0.0,1.0,1.0
44275,clippty01,2016,1,ARI,NL,2,3,40,0,0,0,1,113,34,18,7,15,46,0.245,4.3,0.0,1,0.0,3,155.0,10,18,1.0,0.0,1.0
44276,clippty01,2016,2,NYA,AL,2,3,29,0,0,0,2,76,20,7,3,11,26,0.211,2.49,2.0,4,1.0,0,107.0,7,9,0.0,0.0,1.0
44277,cobbal01,2016,1,TBA,AL,1,2,5,5,0,0,0,66,32,21,5,7,16,0.337,8.59,0.0,0,0.0,0,104.0,0,22,1.0,1.0,1.0
44278,cokeph01,2016,1,NYA,AL,0,0,3,0,0,0,0,18,7,4,1,4,1,0.292,6.0,0.0,0,1.0,0,29.0,2,5,0.0,0.0,1.0
44279,cokeph01,2016,2,PIT,NL,0,0,3,0,0,0,0,12,3,0,0,3,3,0.231,0.0,1.0,0,0.0,0,16.0,1,0,0.0,0.0,2.0
44280,coleaj01,2016,1,WAS,NL,1,2,8,8,0,0,0,115,37,22,7,14,39,0.248,5.17,1.0,1,2.0,0,168.0,0,24,0.0,3.0,0.0
44281,colege01,2016,1,PIT,NL,7,10,21,21,1,0,0,348,131,50,7,36,98,0.289,3.88,3.0,5,6.0,1,506.0,0,57,4.0,6.0,9.0
44282,colemlo01,2016,1,LAN,NL,2,1,61,0,0,0,0,144,45,25,5,24,45,0.25,4.69,2.0,3,3.0,0,211.0,11,27,2.0,2.0,3.0
44283,collmjo01,2016,1,ARI,NL,1,0,15,0,0,0,0,67,21,12,4,11,17,0.253,4.84,1.0,0,2.0,0,97.0,10,12,1.0,0.0,4.0
44284,collmjo01,2016,2,ATL,NL,2,0,3,3,0,0,0,57,15,5,3,5,16,0.221,2.37,0.0,0,1.0,0,76.0,0,5,2.0,0.0,2.0
44285,colomal01,2016,1,TBA,AL,2,4,57,0,0,0,37,170,43,12,6,15,71,0.206,1.91,1.0,1,2.0,0,226.0,48,12,0.0,0.0,5.0
44286,colonba01,2016,1,NYN,NL,15,8,34,33,0,0,0,575,200,73,24,32,128,0.268,3.43,2.0,0,3.0,0,791.0,0,81,7.0,4.0,19.0
44287,colonjo01,2016,1,CLE,AL,1,3,11,0,0,0,0,30,12,8,2,7,10,0.279,7.2,1.0,1,0.0,1,50.0,5,9,0.0,0.0,0.0
44288,concege01,2016,1,CHN,NL,0,0,3,0,0,0,0,7,2,1,0,1,2,0.25,3.86,0.0,0,0.0,0,10.0,1,1,0.0,1.0,0.0
44289,conlead01,2016,1,MIA,NL,8,6,25,25,0,0,0,400,125,57,13,62,124,0.25,3.85,7.0,9,11.0,0,584.0,0,59,7.0,3.0,14.0
44290,corbipa01,2016,1,ARI,NL,5,13,36,24,0,0,1,467,177,89,24,66,131,0.286,5.15,2.0,9,5.0,0,701.0,6,109,6.0,5.0,15.0
44291,cosarja01,2016,1,MIA,NL,0,1,4,4,0,0,0,59,19,13,0,16,11,0.257,5.95,2.0,2,0.0,0,92.0,0,14,1.0,1.0,3.0
44292,cosarja01,2016,2,SDN,NL,0,3,9,9,0,0,0,112,42,25,4,23,27,0.278,6.03,0.0,1,2.0,0,176.0,0,27,0.0,0.0,8.0
44293,cothaca01,2016,1,CIN,NL,0,3,23,0,0,0,0,73,32,20,3,12,21,0.323,7.4,2.0,1,3.0,0,117.0,3,21,1.0,2.0,2.0
44294,cottojh01,2016,1,OAK,AL,2,0,5,5,0,0,0,88,20,7,4,4,23,0.185,2.15,0.0,1,0.0,0,112.0,0,10,0.0,0.0,2.0
44295,couloda01,2016,1,OAK,AL,3,1,35,0,0,0,0,143,37,24,6,17,54,0.216,4.53,2.0,3,0.0,0,193.0,11,24,2.0,3.0,3.0
44296,cravyty01,2016,1,MIL,NL,0,1,20,2,0,0,0,85,21,9,3,12,22,0.208,2.86,1.0,0,1.0,0,116.0,4,9,1.0,1.0,0.0
44297,crockky01,2016,1,CLE,AL,0,0,29,0,0,0,0,48,16,9,0,7,17,0.258,5.06,2.0,1,0.0,1,70.0,4,9,0.0,1.0,1.0
44298,cuetojo01,2016,1,SFN,NL,18,5,32,32,5,2,0,659,195,68,15,45,198,0.238,2.79,1.0,3,8.0,1,881.0,0,71,7.0,3.0,13.0
44299,cuevawi01,2016,1,BOS,AL,0,1,3,0,0,0,0,15,5,2,0,6,3,0.294,3.6,0.0,0,0.0,0,24.0,2,2,1.0,0.0,0.0
44300,cunnibr02,2016,1,ATL,NL,2,0,15,0,0,0,0,51,14,8,2,9,16,0.233,4.24,1.0,1,2.0,0,74.0,3,9,2.0,1.0,0.0
44301,curtiza01,2016,1,ARI,NL,0,1,21,0,0,0,0,40,13,10,2,13,10,0.255,6.75,1.0,0,3.0,0,67.0,2,10,0.0,0.0,1.0
