playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,salary,birthYear,birthMonth,weight,height,throws,salary-bin
lyonsty01,2016,1,25,1,2,0,30,0,0,0,0,144,35,18,9,14,46,0.205,3.38,0.0,2,0.0,0,187.0,10,18,1.0,1.0,6.0,512500.0,1988.0,2.0,210.0,74.0,0,low
madsory01,2016,1,19,0,6,7,63,0,0,0,30,194,63,26,7,20,49,0.257,3.62,3.0,4,2.0,1,270.0,53,27,2.0,1.0,8.0,6666667.0,1980.0,8.0,234.0,78.0,1,high
maedake01,2016,1,13,1,16,11,32,32,0,0,0,527,150,68,20,50,179,0.229,3.48,6.0,6,8.0,0,716.0,0,72,0.0,3.0,10.0,3125000.0,1988.0,4.0,185.0,73.0,1,mid
manesse01,2016,1,25,1,2,2,29,0,0,0,0,95,34,12,2,8,16,0.274,3.41,2.0,2,0.0,0,134.0,13,14,1.0,1.0,4.0,1400000.0,1988.0,10.0,190.0,72.0,1,mid
manshje01,2016,1,7,0,2,1,53,0,0,0,0,130,40,15,7,22,36,0.241,3.12,2.0,0,0.0,0,189.0,8,20,0.0,1.0,5.0,765000.0,1985.0,1.0,205.0,74.0,1,mid
martica04,2016,1,25,1,16,9,31,31,0,0,0,586,169,66,15,70,174,0.233,3.04,1.0,8,11.0,0,809.0,0,68,2.0,2.0,33.0,539000.0,1991.0,9.0,200.0,72.0,1,mid
matusbr01,2016,1,2,0,0,0,7,0,0,0,0,18,11,8,3,7,1,0.407,12.0,0.0,0,0.0,0,35.0,2,8,0.0,1.0,1.0,3900000.0,1987.0,2.0,190.0,77.0,0,high
matzst01,2016,1,18,1,9,8,22,22,0,0,0,397,129,50,14,31,129,0.257,3.4,2.0,3,5.0,1,547.0,0,53,8.0,1.0,8.0,515750.0,1991.0,5.0,201.0,74.0,0,low
maurebr01,2016,1,22,1,0,5,71,0,0,0,13,209,65,35,7,23,72,0.238,4.52,5.0,3,2.0,0,300.0,36,37,0.0,1.0,2.0,526400.0,1990.0,7.0,225.0,77.0,1,low
mcallza01,2016,1,7,0,3,2,53,2,0,0,0,157,53,20,6,23,54,0.256,3.44,2.0,3,2.0,0,233.0,11,21,1.0,0.0,1.0,1300000.0,1987.0,12.0,240.0,78.0,1,mid
mccarbr01,2016,1,13,1,2,3,10,9,0,0,0,120,29,22,2,26,44,0.207,4.95,1.0,2,2.0,0,171.0,0,24,1.0,2.0,3.0,12500000.0,1983.0,7.0,225.0,80.0,1,high
mcculla02,2016,1,10,0,6,5,14,14,0,0,0,243,80,29,5,45,106,0.261,3.22,1.0,9,0.0,2,352.0,0,29,0.0,0.0,10.0,516700.0,1993.0,10.0,202.0,73.0,1,low
mcfartj01,2016,1,2,0,2,2,16,0,0,0,0,74,33,19,3,10,7,0.34,6.93,2.0,1,2.0,0,112.0,2,19,0.0,3.0,6.0,523500.0,1989.0,6.0,200.0,75.0,0,low
mcgeeja01,2016,1,8,1,2,3,57,0,0,0,15,137,56,24,9,16,38,0.301,4.73,1.0,4,3.0,0,205.0,25,25,0.0,0.0,5.0,4800000.0,1986.0,8.0,229.0,76.0,0,high
mcgowdu01,2016,1,14,1,1,3,55,0,0,0,1,201,49,21,7,33,63,0.202,2.82,7.0,4,2.0,0,279.0,24,26,0.0,2.0,6.0,1000000.0,1982.0,3.0,235.0,75.0,1,mid
mchugco01,2016,1,10,0,13,10,33,33,1,0,0,554,206,89,25,54,177,0.282,4.34,1.0,9,5.0,0,796.0,0,92,1.0,5.0,15.0,529000.0,1987.0,6.0,191.0,74.0,1,low
medlekr01,2016,1,11,0,1,3,6,6,0,0,0,73,30,21,2,20,18,0.309,7.77,0.0,1,0.0,0,119.0,0,25,0.0,2.0,5.0,5500000.0,1985.0,10.0,190.0,70.0,1,high
melanma01,2016,1,21,1,1,1,45,0,0,0,30,125,31,7,2,9,38,0.205,1.51,0.0,1,1.0,0,163.0,39,10,0.0,2.0,2.0,9650000.0,1985.0,3.0,215.0,73.0,1,high
mileywa01,2016,2,2,0,2,5,11,11,0,0,0,162,70,37,7,15,55,0.315,6.17,0.0,3,3.0,0,242.0,0,38,0.0,2.0,4.0,16329674.0,1986.0,11.0,220.0,74.0,0,high
millean01,2016,1,17,0,6,1,44,0,0,0,9,136,28,7,5,7,77,0.174,1.39,0.0,0,2.0,0,172.0,16,8,1.0,1.0,3.0,9000000.0,1985.0,5.0,200.0,79.0,0,high
milleju02,2016,1,8,1,1,1,40,0,0,0,0,128,50,27,6,20,45,0.298,5.7,0.0,3,2.0,1,194.0,13,27,0.0,3.0,3.0,509500.0,1987.0,6.0,225.0,75.0,1,low
millesh01,2016,1,0,1,3,12,20,20,1,1,0,303,127,69,14,42,70,0.31,6.15,3.0,3,2.0,0,460.0,0,72,3.0,3.0,8.0,4350000.0,1990.0,10.0,225.0,75.0,1,high
milonto01,2016,1,16,0,3,5,19,12,0,0,0,208,84,44,15,22,49,0.299,5.71,3.0,3,1.0,1,311.0,3,53,4.0,3.0,6.0,4500000.0,1987.0,2.0,215.0,72.0,0,high
mitchbr01,2016,1,17,0,1,2,5,5,0,0,0,75,26,9,1,12,11,0.277,3.24,0.0,0,0.0,0,107.0,0,13,1.0,0.0,5.0,516650.0,1991.0,4.0,215.0,74.0,1,low
montemi01,2016,1,5,1,0,0,1,0,0,0,0,4,4,1,0,0,0,0.5,6.75,0.0,0,1.0,0,9.0,1,1,0.0,0.0,0.0,14000000.0,1983.0,7.0,221.0,71.0,1,high
montgmi01,2016,1,23,0,3,4,32,2,0,0,0,185,49,16,3,18,54,0.22,2.34,2.0,5,6.0,0,250.0,13,18,2.0,1.0,8.0,515000.0,1989.0,7.0,220.0,77.0,0,low
moorema02,2016,1,26,0,7,7,21,21,0,0,0,390,125,59,20,40,109,0.251,4.08,0.0,3,5.0,1,549.0,0,62,3.0,2.0,7.0,5100000.0,1989.0,6.0,210.0,75.0,0,high
moralfr01,2016,1,28,0,0,1,5,0,0,0,0,12,3,4,1,2,2,0.214,9.0,0.0,0,0.0,1,16.0,2,4,0.0,0.0,1.0,2000000.0,1986.0,1.0,210.0,73.0,0,mid
morinmi01,2016,1,12,0,2,2,60,0,0,0,0,167,52,27,6,15,49,0.25,4.37,1.0,1,1.0,1,227.0,8,31,2.0,1.0,3.0,520000.0,1991.0,5.0,220.0,76.0,1,low
morribr01,2016,1,14,1,0,0,24,0,0,0,1,53,15,6,4,10,13,0.238,3.06,1.0,0,1.0,0,74.0,4,7,0.0,0.0,2.0,1350000.0,1987.0,3.0,220.0,75.0,1,mid
mortoch02,2016,1,20,1,1,1,4,4,0,0,0,52,15,8,1,8,19,0.242,4.15,0.0,1,0.0,1,71.0,0,8,1.0,0.0,2.0,8000000.0,1983.0,11.0,215.0,77.0,1,high
moscojo01,2016,1,6,1,0,3,5,5,0,0,0,64,26,19,10,10,10,0.292,8.02,1.0,0,1.0,0,105.0,0,22,3.0,1.0,1.0,508000.0,1991.0,8.0,210.0,76.0,1,low
motteja01,2016,1,8,1,0,1,30,0,0,0,0,71,28,13,6,8,24,0.286,4.94,1.0,0,2.0,0,109.0,8,15,0.0,1.0,1.0,5000000.0,1982.0,6.0,205.0,72.0,1,high
narvech01,2016,1,14,1,1,0,6,0,0,0,0,25,10,8,3,2,6,0.286,8.64,1.0,1,1.0,0,38.0,2,8,0.0,0.0,0.0,1200000.0,1981.0,12.0,205.0,75.0,0,mid
nelsoji02,2016,1,15,1,8,16,32,32,0,0,0,538,186,92,25,86,140,0.268,4.62,2.0,8,17.0,0,807.0,0,108,7.0,4.0,18.0,522300.0,1989.0,6.0,250.0,78.0,1,low
nerishe01,2016,1,20,1,4,4,79,0,0,0,2,241,59,23,9,30,102,0.202,2.58,3.0,4,3.0,1,328.0,13,26,1.0,2.0,4.0,515000.0,1989.0,6.0,227.0,74.0,1,low
neshepa01,2016,1,10,0,2,2,60,0,0,0,0,141,33,16,6,11,43,0.194,3.06,7.0,1,0.0,0,185.0,9,17,3.0,1.0,2.0,6500000.0,1980.0,9.0,220.0,75.0,1,high
nicasju01,2016,1,21,1,10,7,52,12,0,0,0,354,117,59,15,45,138,0.261,4.5,3.0,3,7.0,0,513.0,9,64,5.0,7.0,8.0,3000000.0,1986.0,8.0,250.0,76.0,1,mid
niesejo01,2016,1,21,1,8,6,23,18,0,0,0,330,132,60,21,38,76,0.297,4.91,2.0,9,3.0,0,491.0,2,63,5.0,1.0,13.0,9000000.0,1986.0,10.0,215.0,75.0,0,high
