Year,Full Name,Age,Salary,ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,League,Team,Games Started
1990,ValenzuelaFernando,30,2000000,4.59,223,104,115,19,13,13,612,900,0,180,71,NL,LAN,33
1990,ValeraJulio,22,100000,6.92,20,10,4,1,1,1,39,64,0,185,74,NL,NYN,3
1990,ViolaFrank,30,1966667,2.67,227,74,182,15,20,12,749,1016,0,200,76,NL,NYN,35
1990,WalkBob,34,850000,3.75,136,54,73,17,7,5,389,549,1,185,75,NL,PIT,24
1990,WalkerMike,24,100000,4.88,82,41,34,6,2,6,227,350,2,195,74,AL,CLE,11
1990,WegmanBill,28,550000,4.85,37,16,20,6,2,2,89,132,0,200,77,AL,ML4,5
1990,WelchBob,34,1133334,2.95,214,78,127,26,27,6,714,979,0,190,75,AL,OAK,35
1990,WellsDavid,27,275000,3.14,165,66,115,14,11,6,567,759,8,187,75,AL,TOR,25
1990,WestDavid,26,100000,5.1,142,83,92,21,7,9,439,646,0,205,78,AL,MIN,27
1990,WettelandJohn,24,142500,4.81,44,23,36,6,2,4,129,190,7,195,74,NL,LAN,5
1990,WhitsonEd,35,1125000,2.6,215,66,127,13,14,9,686,918,0,195,75,NL,SDN,32
1990,WillsFrank,32,242500,4.73,101,52,72,13,6,4,297,422,6,200,74,AL,TOR,4
1990,WilsonSteve,26,148000,4.79,140,74,95,17,4,9,417,597,5,205,76,NL,CHN,15
1990,WilsonTrevor,24,122000,4.0,87,49,66,11,8,7,331,457,3,190,72,NL,SFN,17
1990,WittBobby,26,415000,3.36,197,83,221,12,17,10,666,954,1,190,74,AL,TEX,32
1990,YoungCurt,30,675000,4.85,124,67,56,17,9,6,373,527,0,175,73,AL,OAK,21
1990,YoungMatt,32,587000,3.51,198,88,176,15,8,18,676,963,0,205,75,AL,SEA,33
1991,AbbottJim,24,357500,2.89,222,78,158,14,18,11,729,1002,0,200,75,AL,CAL,34
1991,AlvarezWilson,21,100000,3.51,47,22,32,9,3,2,169,237,0,175,73,AL,CHA,9
1991,AndersonAllan,27,785000,4.96,148,74,51,24,5,11,403,584,4,178,71,AL,MIN,22
1991,AppierKevin,24,215000,3.42,205,79,158,13,13,10,623,881,1,180,74,AL,KCA,31
1991,AquinoLuis,27,160000,3.44,152,60,80,10,8,4,471,661,9,155,72,AL,KCA,18
1991,ArmstrongJack,26,215000,5.48,158,85,93,25,7,13,419,611,1,220,77,NL,CIN,24
1991,AverySteve,21,110000,3.38,189,79,137,21,18,8,631,868,0,180,76,NL,ATL,35
1991,BallardJeff,28,465000,5.6,153,77,37,16,6,12,371,540,1,195,75,AL,BAL,22
1991,BankheadScott,28,755000,4.9,73,33,28,8,3,6,182,271,2,175,70,AL,SEA,9
1991,BarfieldJohn,27,110000,4.54,96,42,27,11,4,4,250,361,4,195,73,AL,TEX,9
1991,BarnesBrian,24,103500,4.22,135,75,117,16,5,8,480,684,0,170,69,NL,MON,27
1991,BelcherTim,30,900000,2.62,189,61,156,10,10,9,628,880,0,210,75,NL,LAN,33
1991,BenesAndy,24,235000,3.03,194,75,167,23,15,11,669,908,0,235,78,NL,SDN,33
1991,BieleckiMike,32,810000,4.5,169,86,72,18,13,11,516,718,8,195,75,NL,CHN,25
1991,BlackBuddy,34,1750000,3.99,201,95,104,25,12,16,643,893,0,180,74,NL,SFN,34
1991,BoddickerMike,34,3166667,4.08,188,82,79,13,12,12,542,775,1,172,71,AL,KCA,29
1991,BohanonBrian,23,105000,4.84,66,33,34,4,4,3,184,273,0,210,74,AL,TEX,11
1991,BoltonTom,29,290000,5.24,136,64,64,16,8,9,330,499,4,172,74,AL,BOS,19
1991,BosioChris,28,875000,3.25,187,74,117,15,14,10,614,840,0,220,75,AL,ML4,32
1991,BoskieShawn,24,130000,5.23,150,75,62,14,4,9,387,582,2,205,75,NL,CHN,20
1991,BoydOil Can,32,1500000,3.52,115,47,82,9,6,8,361,496,0,155,73,NL,MON,19
1991,BrownKevin,26,355000,4.4,233,103,96,17,9,12,632,934,0,195,76,AL,TEX,33
1991,BrowningTom,31,2425000,4.18,241,107,115,32,14,14,691,983,0,190,73,NL,CIN,36
1991,BurkettJohn,27,230000,4.18,223,96,131,19,12,11,620,890,0,175,74,NL,SFN,34
1991,CadaretGreg,29,675000,3.62,110,49,105,8,8,6,365,517,17,210,75,AL,NYA,5
1991,CandiottiTom,34,2500000,2.24,88,27,86,6,7,6,325,442,0,205,75,AL,CLE,15
1991,CaryChuck,31,570000,5.91,61,35,34,6,1,6,160,247,0,210,76,AL,NYA,9
1991,CeruttiJohn,31,800000,4.57,94,45,29,9,3,6,266,389,10,195,74,AL,DET,8
1991,CharltonNorm,28,625000,2.91,92,35,77,6,3,5,325,438,10,195,75,NL,CIN,11
1991,ChiamparinoScott,25,112000,4.03,26,10,8,1,1,0,67,101,0,190,74,AL,TEX,5
1991,ClemensRoger,29,2700000,2.62,219,79,241,15,18,10,814,1077,0,205,76,AL,BOS,35
1991,CombsPat,25,220000,4.9,64,35,41,7,2,6,193,300,0,200,75,NL,PHI,13
1991,ConeDavid,28,2350000,3.29,204,85,241,13,14,14,698,966,0,180,73,NL,NYN,34
1991,CoxDanny,32,520000,4.57,98,52,46,14,4,6,307,433,2,235,76,NL,PHI,17
1991,DarlingRon,31,1966667,3.87,96,44,58,9,5,6,307,427,0,195,75,NL,NYN,17
1991,DarwinDanny,36,3250000,5.16,71,39,42,15,3,6,204,292,0,185,75,AL,BOS,12
1991,DavisMark,31,3625000,4.45,55,31,47,6,6,3,188,276,8,180,75,AL,KCA,5
1991,de JesusJose,26,145000,3.42,147,69,118,7,10,9,545,801,1,175,77,NL,PHI,29
1991,DeLeonJose,31,2366667,2.71,144,49,118,15,5,9,488,679,0,210,75,NL,SLN,28
1991,DeLuciaRich,27,100000,5.09,176,103,98,31,12,13,546,779,0,185,72,AL,SEA,31
1991,DeshaiesJim,31,2100000,4.98,156,89,98,19,5,12,483,686,0,222,76,NL,HOU,28
1991,DownsKelly,31,525000,4.19,99,52,62,12,10,4,335,479,4,195,76,NL,SFN,11
1991,DrabekDoug,29,3350000,3.07,245,80,142,16,15,14,704,977,0,185,73,NL,PIT,35
1991,EilandDave,25,110000,5.33,87,43,18,10,2,5,218,317,4,210,75,AL,NYA,13
1991,EricksonScott,23,143500,3.18,189,72,108,13,20,8,612,851,0,220,76,AL,MIN,32
1991,FernandezAlex,22,120000,4.51,186,96,145,16,9,13,575,827,1,200,74,AL,CHA,32
1991,FernandezSid,29,2166667,2.86,36,14,31,4,1,3,132,177,0,220,73,NL,NYN,8
1991,FettersMike,27,120000,4.84,53,24,24,4,2,5,134,206,8,200,76,AL,CAL,4
1991,FinleyChuck,29,2500000,3.8,205,96,171,23,18,9,682,955,0,220,78,AL,CAL,34
1991,GakelerDan,27,125000,5.74,73,47,43,5,1,4,221,331,11,215,78,AL,DET,7
1991,GardnerMark,29,185000,3.85,139,72,107,17,9,11,505,692,0,190,73,NL,MON,27
1991,GarreltsScott,30,2400000,6.41,25,14,8,5,1,1,59,90,2,195,76,NL,SFN,3
1991,GlavineTom,25,697500,2.55,201,70,192,17,20,11,740,989,0,175,72,NL,ATL,34
1991,GoodenDwight,27,2466667,3.6,185,76,150,12,13,7,570,789,0,190,74,NL,NYN,27
1991,GordonTom,24,325000,3.87,129,68,167,16,9,14,474,684,11,160,69,AL,KCA,14
1991,GreeneTommy,24,115000,3.38,177,78,154,19,13,7,623,857,3,225,77,NL,PHI,27
1991,GrimsleyJason,24,118000,4.87,54,33,42,4,1,7,183,272,0,180,75,NL,PHI,12
1991,GrossKevin,30,2166667,3.58,123,46,95,10,10,11,347,509,16,203,77,NL,LAN,10
1991,GrossKip,27,108000,3.47,93,33,40,8,6,4,257,381,6,195,74,NL,CIN,9
1991,GubiczaMark,29,2166667,5.68,168,84,89,10,9,12,399,601,0,215,78,AL,KCA,26
1991,GullicksonBill,32,1825000,3.9,256,98,91,22,20,9,679,954,0,200,75,AL,DET,35
1991,GuthrieMark,26,160000,4.32,116,47,72,11,7,5,294,432,13,192,76,AL,MIN,12
1991,GuzmanJuan,25,100000,2.99,98,46,123,6,10,3,416,574,0,190,71,AL,TOR,23
1991,HammondChris,25,100000,4.06,92,45,50,4,7,7,299,425,0,190,73,NL,CIN,18
1991,HansonErik,26,400000,3.81,182,74,143,16,8,8,524,744,0,210,78,AL,SEA,27
1991,HarkeyMike,25,220000,5.3,21,11,15,3,0,2,56,84,0,220,77,NL,CHN,4
1991,HarnischPete,25,210000,2.7,169,65,172,14,12,9,650,900,0,195,73,NL,HOU,33
1991,HarrisGreg,36,1300000,3.85,157,74,127,13,11,12,519,731,15,165,72,AL,BOS,21
1991,HernandezRoberto,27,100000,7.8,18,13,6,1,1,0,45,69,1,220,76,AL,CHA,3
1991,HernandezXavier,26,122500,4.71,66,33,55,6,2,7,189,285,8,185,74,NL,HOU,6
1991,HershiserOrel,33,3166667,3.46,112,43,73,3,7,2,336,473,0,190,75,NL,LAN,21
1991,HeskethJoe,32,525000,3.29,142,56,104,19,12,4,460,631,5,170,74,AL,BOS,17
1991,HibbardGreg,27,150000,4.31,196,93,71,23,11,11,582,806,1,180,72,AL,CHA,29
1991,HillKen,26,155000,3.57,147,72,121,15,11,10,544,743,0,200,76,NL,SLN,30
1991,HolmanBrian,26,300000,3.69,199,80,108,16,13,14,586,839,0,185,76,AL,SEA,30
1991,HoughCharlie,43,800000,4.02,167,89,107,21,9,10,598,858,1,190,74,AL,CHA,29
1991,HurstBruce,33,1883334,3.29,201,81,141,17,15,8,665,909,0,200,76,NL,SDN,31
1991,JacksonDanny,29,2625000,6.75,89,53,31,8,1,5,212,347,0,205,72,NL,CHN,14
1991,JohnsonDave,32,200000,7.07,127,66,38,18,4,8,252,393,4,180,70,AL,BAL,14
1991,JohnsonRandy,28,350000,3.98,151,89,228,15,13,10,604,889,0,225,82,AL,SEA,33
1991,JonesDoug,34,2050000,5.54,87,39,48,7,4,8,190,293,29,195,75,AL,CLE,4
1991,KieckerDana,30,167500,7.36,56,33,21,6,2,3,121,194,3,180,75,AL,BOS,5
1991,KileDarryl,23,100000,3.69,144,63,100,16,7,11,461,689,5,185,77,NL,HOU,22
1991,KingEric,27,1450000,4.6,166,77,59,7,6,11,452,656,0,180,74,AL,CLE,24
1991,KruegerBill,33,500000,3.6,194,70,91,15,11,8,525,751,2,205,77,AL,SEA,25
1991,LaCossMike,35,1450000,7.23,61,38,30,4,1,5,142,225,6,185,77,NL,SFN,5
1991,LancasterLes,29,550000,3.52,150,61,102,13,9,7,468,653,21,200,74,NL,CHN,11
1991,LangstonMark,31,3550000,3.0,190,82,183,30,19,8,739,992,0,177,74,AL,CAL,34
1991,LearyTim,33,1975000,6.49,150,87,83,20,4,10,362,551,4,205,75,AL,NYA,18
1991,LeibrandtCharlie,35,1833333,3.49,212,89,128,18,15,13,689,949,0,195,75,NL,ATL,36
1991,LeiterMark,28,130000,4.21,125,63,103,16,9,7,404,578,7,200,75,AL,DET,15
1991,LewisScott,26,105000,6.27,81,42,37,9,3,5,181,281,0,190,75,AL,CAL,11
