ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,Games Started,salBin_low,salBin_mid,salBin_high,salBin_top
4.88,36,17,14,2,2,2,94,137,0,235,76,5,0,1,0,0
3.13,93,34,74,6,10,6,293,428,46,200,73,3,1,0,0,0
5.38,178,89,79,14,6,13,447,678,1,205,74,25,1,0,0,0
3.44,137,78,232,18,13,9,612,818,0,170,74,30,0,1,0,0
3.27,146,49,87,9,5,9,405,561,0,160,73,20,0,1,0,0
2.99,94,30,69,7,12,7,271,394,26,185,73,4,1,0,0,0
3.88,205,89,128,27,17,11,619,885,0,195,77,34,0,1,0,0
4.41,105,51,74,11,3,8,312,468,14,215,77,8,0,1,0,0
3.81,194,87,121,27,9,13,617,871,0,210,74,32,0,1,0,0
4.9,74,39,42,12,5,5,215,316,3,180,74,10,1,0,0,0
4.66,76,39,66,9,2,7,226,341,2,190,73,12,1,0,0,0
6.66,73,36,25,11,3,4,146,229,0,185,74,9,1,0,0,0
5.76,131,68,55,16,6,8,319,482,14,185,73,12,0,1,0,0
4.64,161,77,86,15,9,10,448,632,0,180,76,25,0,1,0,0
4.27,160,67,78,11,9,8,424,605,0,200,74,25,0,1,0,0
4.79,77,41,56,11,5,6,231,327,0,185,74,13,1,0,0,0
4.81,191,82,87,20,5,10,460,671,1,200,75,23,1,0,0,0
3.23,141,50,80,11,6,7,418,578,0,185,74,21,0,1,0,0
3.85,206,99,170,20,14,11,694,966,0,210,75,34,1,0,0,0
2.56,226,76,166,16,22,11,801,1088,0,200,74,36,0,1,0,0
2.93,179,68,125,11,18,6,626,861,0,185,72,33,0,1,0,0
4.34,214,98,115,18,13,17,609,866,0,195,75,33,1,0,0,0
5.91,25,14,7,2,0,2,64,97,0,215,79,5,0,1,0,0
2.39,135,34,42,4,6,4,384,533,18,170,72,8,1,0,0,0
4.4,245,105,135,27,12,9,644,912,0,225,74,34,0,1,0,0
5.31,190,104,114,25,9,8,529,763,4,180,74,29,0,1,0,0
4.07,164,72,101,12,12,8,478,659,0,180,72,28,1,0,0,0
4.95,43,20,20,4,3,3,109,168,0,175,72,8,1,0,0,0
5.88,98,54,34,13,2,7,248,377,0,205,74,16,0,1,0,0
3.47,151,56,50,7,10,9,436,595,1,200,76,20,1,0,0,0
5.68,55,32,23,8,2,7,152,215,0,185,75,10,1,0,0,0
2.4,120,39,63,10,12,4,439,575,0,185,72,22,1,0,0,0
4.59,223,104,115,19,13,13,612,900,0,180,71,33,0,1,0,0
6.92,20,10,4,1,1,1,39,64,0,185,74,3,1,0,0,0
2.67,227,74,182,15,20,12,749,1016,0,200,76,35,0,1,0,0
3.75,136,54,73,17,7,5,389,549,1,185,75,24,0,1,0,0
4.88,82,41,34,6,2,6,227,350,2,195,74,11,1,0,0,0
4.85,37,16,20,6,2,2,89,132,0,200,77,5,0,1,0,0
2.95,214,78,127,26,27,6,714,979,0,190,75,35,0,1,0,0
3.14,165,66,115,14,11,6,567,759,8,187,75,25,1,0,0,0
5.1,142,83,92,21,7,9,439,646,0,205,78,27,1,0,0,0
4.81,44,23,36,6,2,4,129,190,7,195,74,5,1,0,0,0
2.6,215,66,127,13,14,9,686,918,0,195,75,32,0,1,0,0
4.73,101,52,72,13,6,4,297,422,6,200,74,4,1,0,0,0
4.79,140,74,95,17,4,9,417,597,5,205,76,15,1,0,0,0
4.0,87,49,66,11,8,7,331,457,3,190,72,17,1,0,0,0
3.36,197,83,221,12,17,10,666,954,1,190,74,32,1,0,0,0
4.85,124,67,56,17,9,6,373,527,0,175,73,21,0,1,0,0
3.51,198,88,176,15,8,18,676,963,0,205,75,33,0,1,0,0
2.89,222,78,158,14,18,11,729,1002,0,200,75,34,1,0,0,0
3.51,47,22,32,9,3,2,169,237,0,175,73,9,1,0,0,0
4.96,148,74,51,24,5,11,403,584,4,178,71,22,0,1,0,0
3.42,205,79,158,13,13,10,623,881,1,180,74,31,1,0,0,0
3.44,152,60,80,10,8,4,471,661,9,155,72,18,1,0,0,0
5.48,158,85,93,25,7,13,419,611,1,220,77,24,1,0,0,0
3.38,189,79,137,21,18,8,631,868,0,180,76,35,1,0,0,0
5.6,153,77,37,16,6,12,371,540,1,195,75,22,1,0,0,0
4.9,73,33,28,8,3,6,182,271,2,175,70,9,0,1,0,0
4.54,96,42,27,11,4,4,250,361,4,195,73,9,1,0,0,0
4.22,135,75,117,16,5,8,480,684,0,170,69,27,1,0,0,0
2.62,189,61,156,10,10,9,628,880,0,210,75,33,0,1,0,0
3.03,194,75,167,23,15,11,669,908,0,235,78,33,1,0,0,0
4.5,169,86,72,18,13,11,516,718,8,195,75,25,0,1,0,0
3.99,201,95,104,25,12,16,643,893,0,180,74,34,0,1,0,0
4.08,188,82,79,13,12,12,542,775,1,172,71,29,0,1,0,0
4.84,66,33,34,4,4,3,184,273,0,210,74,11,1,0,0,0
5.24,136,64,64,16,8,9,330,499,4,172,74,19,1,0,0,0
3.25,187,74,117,15,14,10,614,840,0,220,75,32,0,1,0,0
5.23,150,75,62,14,4,9,387,582,2,205,75,20,1,0,0,0
3.52,115,47,82,9,6,8,361,496,0,155,73,19,0,1,0,0
