ID,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
2010billich01,billich01,2010,1,LAN,NL,12,11,31,31,1,1,0,575,176,76,8,69,171,0.244,3.57,7.0,4,10.0,0,817.0,0,82,7.0,11.0,14.0
2010bisenjo01,bisenjo01,2010,1,WAS,NL,0,0,5,0,0,0,0,14,6,5,1,6,5,0.3,9.64,0.0,0,0.0,0,26.0,2,6,0.0,0.0,1.0
2010blackni01,blackni01,2010,1,MIN,AL,10,12,28,26,1,0,0,483,194,97,25,40,68,0.302,5.42,1.0,3,4.0,1,692.0,2,101,2.0,3.0,21.0
2010blantjo01,blantjo01,2010,1,PHI,NL,9,6,29,28,0,0,0,527,206,94,27,43,134,0.291,4.82,6.0,2,3.0,0,765.0,0,104,5.0,7.0,13.0
2010blevije01,blevije01,2010,1,OAK,AL,2,1,63,0,0,0,1,146,54,20,7,18,46,0.274,3.7,1.0,0,1.0,0,220.0,9,20,3.0,1.0,0.0
2010boggsmi01,boggsmi01,2010,1,SLN,NL,2,3,61,0,0,0,0,202,60,27,5,27,52,0.243,3.61,2.0,5,4.0,0,285.0,22,29,4.0,3.0,10.0
2010bondeje01,bondeje01,2010,1,DET,AL,8,10,30,29,0,0,0,513,187,105,25,60,112,0.277,5.53,1.0,8,10.0,0,754.0,0,113,3.0,5.0,17.0
2010bonined01,bonined01,2010,1,DET,AL,4,1,47,1,0,0,0,204,84,35,7,22,26,0.305,4.63,2.0,4,3.0,0,303.0,14,37,0.0,3.0,9.0
2010bonsebo01,bonsebo01,2010,1,BOS,AL,0,0,2,0,0,0,0,6,6,4,0,2,0,0.545,18.0,0.0,0,0.0,0,13.0,1,4,0.0,0.0,1.0
2010bonsebo01,bonsebo01,2010,2,OAK,AL,1,0,13,0,0,0,0,69,27,13,2,6,17,0.3,5.09,0.0,1,0.0,0,99.0,3,13,3.0,0.0,2.0
2010bowdemi01,bowdemi01,2010,1,BOS,AL,0,1,14,0,0,0,0,46,20,8,2,4,13,0.323,4.7,0.0,2,0.0,0,66.0,7,8,0.0,0.0,1.0
2010bowerce01,bowerce01,2010,1,OAK,AL,0,1,14,0,0,0,0,42,12,7,4,6,18,0.218,4.5,1.0,0,1.0,0,62.0,10,9,0.0,0.0,0.0
2010boyerbl01,boyerbl01,2010,1,ARI,NL,3,2,54,0,0,0,0,171,59,27,3,29,29,0.273,4.26,1.0,2,1.0,0,251.0,11,32,3.0,2.0,12.0
2010braddza01,braddza01,2010,1,MIL,NL,1,2,46,0,0,0,0,101,29,11,1,19,41,0.228,2.94,0.0,2,2.0,0,151.0,4,11,1.0,2.0,1.0
2010bradeda01,bradeda01,2010,1,OAK,AL,11,14,30,30,5,2,0,578,180,75,17,43,113,0.249,3.5,0.0,2,5.0,1,781.0,0,83,6.0,4.0,17.0
2010braybi01,braybi01,2010,1,CIN,NL,0,2,35,0,0,0,0,85,21,13,4,10,30,0.198,4.13,1.0,2,0.0,0,117.0,4,13,1.0,0.0,0.0
2010breslcr01,breslcr01,2010,1,OAK,AL,4,4,75,0,0,0,5,224,53,25,9,29,71,0.194,3.01,4.0,0,0.0,1,304.0,23,26,2.0,0.0,5.0
2010broxtjo01,broxtjo01,2010,1,LAN,NL,5,6,64,0,0,0,22,187,64,28,4,28,73,0.27,4.04,5.0,1,2.0,0,271.0,46,30,3.0,1.0,5.0
2010brunebr01,brunebr01,2010,1,WAS,NL,1,2,19,0,0,0,0,53,21,15,1,20,16,0.309,7.64,1.0,1,0.0,0,93.0,6,18,3.0,2.0,1.0
2010buchhcl01,buchhcl01,2010,1,BOS,AL,17,7,28,28,1,1,0,521,142,45,9,67,120,0.226,2.33,1.0,7,5.0,1,711.0,0,55,5.0,5.0,24.0
2010buchhta01,buchhta01,2010,1,COL,NL,1,0,7,0,0,0,0,30,10,5,2,6,9,0.278,4.5,0.0,0,0.0,0,43.0,2,5,1.0,0.0,0.0
2010buchhta01,buchhta01,2010,2,TOR,AL,0,0,2,0,0,0,0,6,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6.0,2,0,0.0,0.0,0.0
2010bucknbi02,bucknbi02,2010,1,ARI,NL,0,3,3,3,0,0,0,39,26,16,4,5,11,0.406,11.08,0.0,1,2.0,0,72.0,0,17,0.0,1.0,0.0
2010buehrma01,buehrma01,2010,1,CHA,AL,13,13,33,33,3,0,0,631,246,100,17,49,99,0.295,4.28,1.0,3,1.0,5,897.0,0,105,6.0,7.0,19.0
2010buentja01,buentja01,2010,1,FLO,NL,0,0,8,0,0,0,0,33,16,8,0,11,9,0.34,6.55,2.0,1,0.0,0,59.0,2,8,1.0,0.0,0.0
2010bulgeja01,bulgeja01,2010,1,LAA,AL,0,0,25,0,0,0,0,72,25,13,3,15,25,0.269,4.88,0.0,1,2.0,0,111.0,5,14,1.0,0.0,0.0
2010bullibr01,bullibr01,2010,1,KCA,AL,1,4,13,5,0,0,0,128,51,29,6,17,29,0.297,6.12,2.0,1,4.0,0,196.0,2,29,1.0,2.0,2.0
2010bumgama01,bumgama01,2010,1,SFN,NL,7,6,18,18,0,0,0,333,119,37,11,26,86,0.272,3.0,2.0,1,5.0,1,472.0,0,40,0.0,4.0,10.0
2010burneaj01,burneaj01,2010,1,NYA,AL,10,15,33,33,1,0,0,560,204,109,25,78,145,0.285,5.26,2.0,16,19.0,0,829.0,0,118,7.0,10.0,25.0
2010burneal01,burneal01,2010,1,MIN,AL,2,2,41,0,0,0,0,143,52,28,6,23,37,0.287,5.29,3.0,2,2.0,2,211.0,11,28,4.0,1.0,7.0
2010burnese01,burnese01,2010,1,WAS,NL,1,7,73,0,0,0,3,189,52,15,3,20,62,0.22,2.14,4.0,2,1.0,0,261.0,10,17,4.0,0.0,6.0
2010burrebr01,burrebr01,2010,1,PIT,NL,4,5,20,13,0,0,0,238,87,44,9,34,45,0.275,4.99,4.0,3,6.0,0,362.0,1,48,3.0,3.0,4.0
2010burtoja01,burtoja01,2010,1,CIN,NL,0,0,4,0,0,0,0,10,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,10.0,2,0,0.0,0.0,0.0
2010bushda01,bushda01,2010,1,MIL,NL,8,13,32,31,0,0,0,523,198,88,28,65,107,0.286,4.54,6.0,1,4.0,1,781.0,0,108,9.0,10.0,14.0
2010byrdati01,byrdati01,2010,1,HOU,NL,2,2,64,0,0,0,0,116,40,15,4,20,29,0.272,3.49,0.0,2,0.0,0,170.0,9,15,0.0,3.0,4.0
2010cabrefe01,cabrefe01,2010,1,BOS,AL,0,0,1,0,0,0,0,4,2,3,1,2,0,0.4,20.25,0.0,0,0.0,0,7.0,0,3,0.0,0.0,1.0
2010cahiltr01,cahiltr01,2010,1,OAK,AL,18,8,30,30,1,1,0,590,155,65,19,63,118,0.22,2.97,1.0,2,6.0,2,783.0,0,73,3.0,6.0,27.0
2010cainma01,cainma01,2010,1,SFN,NL,13,11,33,33,4,2,0,670,181,78,22,61,177,0.221,3.14,4.0,8,4.0,0,896.0,0,84,6.0,7.0,10.0
2010campsh01,campsh01,2010,1,TOR,AL,4,3,70,0,0,0,2,217,71,24,8,18,46,0.259,2.99,5.0,2,4.0,0,298.0,13,26,0.0,2.0,9.0
